entity_isin,country_code,assets_count,percentage_of_assets_in_country
AU000000IVC8,AUS,1,1.0
AU000000JBH7,AUS,1,1.0
AU000000JHX1,AUS,2,0.08333333333333333
AU000000JHX1,CHE,1,0.041666666666666664
AU000000JHX1,CZE,1,0.041666666666666664
AU000000JHX1,FRA,1,0.041666666666666664
AU000000JHX1,GBR,1,0.041666666666666664
AU000000JHX1,IRL,1,0.041666666666666664
AU000000JHX1,ITA,1,0.041666666666666664
AU000000JHX1,PHL,1,0.041666666666666664
AU000000JHX1,POL,1,0.041666666666666664
AU000000JHX1,USA,14,0.5833333333333334
AU000000JLG8,AUS,1,1.0
AU000000JRV4,AUS,1,0.5
AU000000JRV4,USA,1,0.5
AU000000KAR6,AUS,1,1.0
AU000000LIC9,AUS,1,1.0
AU000000LKE1,AUS,1,1.0
AU000000LLC3,AUS,12,0.2926829268292683
AU000000LLC3,CHN,1,0.024390243902439025
AU000000LLC3,GBR,3,0.07317073170731707
AU000000LLC3,ITA,1,0.024390243902439025
AU000000LLC3,JPN,1,0.024390243902439025
AU000000LLC3,MYS,1,0.024390243902439025
AU000000LLC3,SGP,3,0.07317073170731707
AU000000LLC3,USA,19,0.4634146341463415
AU000000LNK2,AUS,2,1.0
AU000000LOV7,AUS,1,1.0
AU000000LRS6,AUS,1,1.0
AU000000LTR4,AUS,1,1.0
AU000000LYC6,AUS,2,1.0
AU000000MCR8,AUS,2,1.0
AU000000MFG4,AUS,1,1.0
AU000000MGR9,AUS,10,1.0
AU000000MGX7,AUS,1,1.0
AU000000MIN4,AUS,20,0.7142857142857143
AU000000MIN4,EGY,1,0.03571428571428571
AU000000MIN4,IND,1,0.03571428571428571
AU000000MIN4,JOR,1,0.03571428571428571
AU000000MIN4,NER,1,0.03571428571428571
AU000000MIN4,USA,2,0.07142857142857142
AU000000MIN4,ZAF,2,0.07142857142857142
AU000000MMS5,AUS,1,1.0
AU000000MND5,AUS,1,1.0
AU000000MP15,AUS,1,1.0
AU000000MPL3,AUS,59,1.0
AU000000MQG1,AUS,13,0.14285714285714285
AU000000MQG1,AUT,1,0.01098901098901099
AU000000MQG1,BEL,1,0.01098901098901099
AU000000MQG1,BRA,1,0.01098901098901099
AU000000MQG1,CAN,6,0.06593406593406594
AU000000MQG1,CHE,2,0.02197802197802198
AU000000MQG1,CHN,3,0.03296703296703297
AU000000MQG1,DEU,1,0.01098901098901099
AU000000MQG1,DNK,1,0.01098901098901099
AU000000MQG1,ESP,1,0.01098901098901099
AU000000MQG1,FRA,1,0.01098901098901099
AU000000MQG1,GBR,4,0.04395604395604396
AU000000MQG1,GRC,2,0.02197802197802198
AU000000MQG1,HUN,1,0.01098901098901099
AU000000MQG1,IDN,1,0.01098901098901099
AU000000MQG1,IND,6,0.06593406593406594
AU000000MQG1,IRL,1,0.01098901098901099
AU000000MQG1,ITA,1,0.01098901098901099
AU000000MQG1,JPN,2,0.02197802197802198
AU000000MQG1,LUX,2,0.02197802197802198
AU000000MQG1,MEX,3,0.03296703296703297
AU000000MQG1,MNG,1,0.01098901098901099
AU000000MQG1,MYS,1,0.01098901098901099
AU000000MQG1,NLD,1,0.01098901098901099
AU000000MQG1,NZL,3,0.03296703296703297
AU000000MQG1,PHL,1,0.01098901098901099
AU000000MQG1,SGP,1,0.01098901098901099
AU000000MQG1,THA,1,0.01098901098901099
AU000000MQG1,TWN,3,0.03296703296703297
AU000000MQG1,USA,22,0.24175824175824176
AU000000MQG1,ZAF,3,0.03296703296703297
AU000000MSB8,AUS,1,1.0
AU000000MTS0,AUS,1,1.0
AU000000MYX0,AUS,1,1.0
AU000000NAB4,AUS,6,0.6
AU000000NAB4,GBR,1,0.1
AU000000NAB4,SGP,1,0.1
AU000000NAB4,USA,2,0.2
AU000000NAN9,AUS,1,1.0
AU000000NCK1,AUS,1,1.0
AU000000NCM7,AUS,6,0.375
AU000000NCM7,CAN,4,0.25
AU000000NCM7,CHL,1,0.0625
AU000000NCM7,PNG,3,0.1875
AU000000NCM7,RUS,1,0.0625
AU000000NCM7,USA,1,0.0625
AU000000NEC4,AUS,1,1.0
AU000000NHC7,AUS,5,1.0
AU000000NMT1,AUS,1,1.0
AU000000NSR2,AUS,1,1.0
AU000000NST8,AUS,9,0.9
AU000000NST8,USA,1,0.1
AU000000NUF3,AUS,1,1.0
AU000000NVX4,AUS,1,1.0
AU000000NWH5,AUS,4,1.0
AU000000NWL7,AUS,1,1.0
AU000000NXT8,AUS,1,1.0
AU000000OCL7,AUS,1,1.0
AU000000OML6,AUS,2,1.0
AU000000ORA8,AUS,1,1.0
AU000000ORG5,AUS,47,1.0
AU000000ORI1,ARG,1,0.02564102564102564
AU000000ORI1,AUS,7,0.1794871794871795
AU000000ORI1,BGR,1,0.02564102564102564
AU000000ORI1,BOL,1,0.02564102564102564
AU000000ORI1,BRA,1,0.02564102564102564
AU000000ORI1,CAN,2,0.05128205128205128
AU000000ORI1,CHL,1,0.02564102564102564
AU000000ORI1,CHN,2,0.05128205128205128
AU000000ORI1,COD,1,0.02564102564102564
AU000000ORI1,COL,1,0.02564102564102564
AU000000ORI1,DNK,1,0.02564102564102564
AU000000ORI1,ESP,1,0.02564102564102564
AU000000ORI1,GBR,2,0.05128205128205128
AU000000ORI1,GHA,1,0.02564102564102564
AU000000ORI1,IDN,2,0.05128205128205128
AU000000ORI1,KOR,1,0.02564102564102564
AU000000ORI1,MEX,1,0.02564102564102564
AU000000ORI1,MYS,1,0.02564102564102564
AU000000ORI1,PHL,1,0.02564102564102564
AU000000ORI1,PRT,1,0.02564102564102564
AU000000ORI1,RUS,1,0.02564102564102564
AU000000ORI1,SGP,1,0.02564102564102564
AU000000ORI1,TUR,1,0.02564102564102564
AU000000ORI1,TZA,1,0.02564102564102564
AU000000ORI1,USA,2,0.05128205128205128
AU000000ORI1,VNM,1,0.02564102564102564
AU000000ORI1,ZAF,1,0.02564102564102564
AU000000ORI1,ZMB,1,0.02564102564102564
AU000000OZL8,AUS,5,1.0
AU000000PDN8,AUS,1,1.0
AU000000PLS0,AUS,5,0.5
AU000000PLS0,IDN,1,0.1
AU000000PLS0,KAZ,3,0.3
AU000000PLS0,PER,1,0.1
AU000000PMV2,AUS,2,1.0
AU000000PNI7,AUS,1,1.0
AU000000PNV0,AUS,1,1.0
AU000000PPT9,AUS,1,1.0
AU000000PRU3,AUS,1,0.1111111111111111
AU000000PRU3,CIV,4,0.4444444444444444
AU000000PRU3,GHA,3,0.3333333333333333
AU000000PRU3,TZA,1,0.1111111111111111
AU000000PTM6,AUS,1,1.0
AU000000PWH0,AUS,1,1.0
AU000000QAN2,AUS,1,1.0
AU000000QBE9,AUS,9,0.12857142857142856
AU000000QBE9,BEL,1,0.014285714285714285
AU000000QBE9,CAN,1,0.014285714285714285
AU000000QBE9,CHN,2,0.02857142857142857
AU000000QBE9,DEU,3,0.04285714285714286
AU000000QBE9,DNK,1,0.014285714285714285
AU000000QBE9,ESP,1,0.014285714285714285
AU000000QBE9,FRA,5,0.07142857142857142
AU000000QBE9,GBR,8,0.11428571428571428
AU000000QBE9,IND,6,0.08571428571428572
AU000000QBE9,IRL,1,0.014285714285714285
AU000000QBE9,ITA,1,0.014285714285714285
AU000000QBE9,JPN,1,0.014285714285714285
AU000000QBE9,MYS,3,0.04285714285714286
AU000000QBE9,NZL,11,0.15714285714285714
AU000000QBE9,PHL,3,0.04285714285714286
AU000000QBE9,PNG,1,0.014285714285714285
AU000000QBE9,SGP,3,0.04285714285714286
AU000000QBE9,USA,9,0.12857142857142856
AU000000REA9,AUS,5,0.5555555555555556
AU000000REA9,GBR,1,0.1111111111111111
